cat,Result,link,sous_cat,number of sous_cat
Services aux entreprises,4967,https://fr.trustpilot.com/categories/business_services,"['Administration & services', 'Associations & centres', 'Commerce de gros', 'Import & export', 'Impression & design graphique', 'Impression & design graphique', 'Informatique & communication', 'Locaux & fournitures de bureau', 'Ressources humaines & recrutement', 'Transport & logistique', 'Ventes & marketing']",11
Shopping & mode,3885,https://fr.trustpilot.com/categories/shopping_fashion,"['Accessoires', 'Bijoux & montres', 'Centres commerciaux & marchés', 'Costume & mariage', 'Location & Réparation de vêtements', 'Vêtements & sous-vêtements']",6
Électronique & technologie,3360,https://fr.trustpilot.com/categories/electronics_technology,"['Appareils électroniques', 'Audiovisuel', 'Internet & logiciels', 'Ordinateurs & téléphones', 'Services de réparation']",5
Maison & jardin,3234,https://fr.trustpilot.com/categories/home_garden,"[""Amélioration de l'habitat"", 'Décoration & design intérieur', 'Énergie & chauffage', 'Jardin & paysagisme', ""Magasin d'équipement pour la maison"", 'Magasins de meubles', 'Produits culturels', 'Salle de bains & cuisine', 'Services ménagers & jardinage', 'Tissus & papeterie']",10
Argent & assurance,2591,https://fr.trustpilot.com/categories/money_insurance,"['Assurance', 'Banque & argent', 'Comptabilité & taxes', 'Immobilier', 'Placements et patrimoine', ""Services d'endettement et de crédit""]",6
Événements & divertissement,2393,https://fr.trustpilot.com/categories/events_entertainment,"['Discothèques & vie nocturne', 'Divertissement pour adultes', 'Divertissement pour enfants', 'Jeux', ""Jeux d'argent"", ""Lieux d'événements"", 'Mariage & fêtes', 'Musées & expositions', 'Musique & films', 'Théâtre & opéra']",10
Beauté & bien-être,2151,https://fr.trustpilot.com/categories/beauty_wellbeing,"['Bien-être & spa', 'Hygiène personnelle', 'Produits de beauté & maquillage', 'Salons & cliniques esthétiques', 'Soins capillaires & coiffure', 'Tatouages & piercings', 'Yoga & méditation']",7
Éducation & formation,2077,https://fr.trustpilot.com/categories/education_training,"['Apprentissage des langues étrangères', 'Collèges & universités', 'Cours de musique et de théâtre', 'École & lycée', 'Établissements spécialisés', 'Formation professionnelle', 'Formations & cours', 'Services éducatifs']",8
Véhicules & transport,1804,https://fr.trustpilot.com/categories/vehicles_transportation,"['Aéroports & parking', 'Autres véhicules & remorques', 'Location de véhicules', 'Motos & sports motorisés', 'Pièces automobiles détachées & roues', 'Réparation de véhicules & carburant', 'Taxis & transports publics', 'Transport aérien & nautique', 'Vélos', 'Voitures & camions']",10
Construction & fabrication,1779,https://fr.trustpilot.com/categories/construction_manufactoring,"['Architectes & ingénieurs', 'Entrepreneurs & consultants', ""Équipement d'usine"", 'Fabrication industrielle', 'Fournitures industrielles', 'Jardin & paysagisme', 'Matériaux de construction', 'Outils & équipement', 'Produits chimiques & plastique', 'Services de construction', 'Services de production']",11
"Aliments, boissons & tabac",1587,https://fr.trustpilot.com/categories/food_beverages_tobacco,"['Agriculture & production', 'Bière & vin', 'Boissons & alcool', 'Bonbons & chocolat', 'Boulangerie & pâtisserie', 'Café & thé', 'Déjeuner & traiteur', 'Épiceries & marchés', 'Épiceries asiatiques', 'Fruits & légumes', 'Production alimentaire', 'Tabac & cigarettes', 'Viande, fruits de mer & oeufs']",13
Loisirs & artisanat,1450,https://fr.trustpilot.com/categories/hobbies_crafts,"['Activités extérieures', 'Art & artisanat', 'Astrologie & numérologie', 'Chasse & pêche', 'Couture & tricot', 'Loisirs', 'Musique & instruments', 'Peinture & papier', 'Travail du métal, de la pierre & du verre']",9
Médias & édition,1271,https://fr.trustpilot.com/categories/media_publishing,"['Livres & magazines', 'Médias & information', 'Photographie', 'Vidéo & son']",4
Vacances & voyages,1177,https://fr.trustpilot.com/categories/travel_vacation,"['Activités & excursions', 'Agences de voyage', 'Compagnies aériennes & aéroports', 'Hébergements & logements de vacances', 'Hôtels']",5
Santé & médecine,955,https://fr.trustpilot.com/categories/health_medical,"['Aides physiques', 'Cliniques', 'Diagnostic & tests', 'Docteurs & chirurgiens', 'Équipement médical', 'Hôpital & urgences', 'Maternité & enfants', 'Médecins spécialistes', 'Pharmacie & médicaments', 'Santé mentale', 'Services dentaires', 'Thérapie & santé pour personnes âgées', 'Vue & audition']",13
Services à domicile,836,https://fr.trustpilot.com/categories/home_services,"['Artisan', 'Déménagement & entreposage', 'Gardiennage de maison et sécurité', 'Plomberie & assainissement', 'Prestataires de service de nettoyage', 'Prestataires de services de réparation', 'Services à domicile']",7
Sport,820,https://fr.trustpilot.com/categories/sports,"['Arts martiaux & lutte', 'Danse & gymnastique', 'Équipement & associations sportives', 'Fitness & haltérophilie', 'Golf & utimate', 'Hockey & patinage sur glace', 'Jeux de balle', 'Jeux de boules & sur pelouse', 'Natation & sports aquatiques', 'Sports de tir & sports de cible', ""Sports en extérieur & sports d'hiver"", 'Sports extrêmes', 'Tennis & sports de raquette']",13
Services publics & locaux,697,https://fr.trustpilot.com/categories/public_local_services,"['Emploi & carrière', 'Enfants & famille', 'Funérailles & mémorial', 'Gestion des déchets', 'Institutions religieuses', 'Militaire & ancien combattant', 'Nature & environnement', 'Organisations professionnelles', ""Refuges & centres d'accueil"", 'Services publics et bien-être', 'Sociétés de logement']",11
Animaux,503,https://fr.trustpilot.com/categories/animals_pets,"['Animalerie', 'Chats & chiens', 'Chevaux & équitation', 'Parcs animaliers & zoos', 'Santé animale', 'Services animaliers']",6
Services juridiques & administration,470,https://fr.trustpilot.com/categories/legal_services_government,"['Avocats & juristes', 'Bibliothèques & archives', 'Département gouvernemental', 'Département municipal', 'Douane & péage', ""Maintien de l'ordre public"", 'Prestataires de services juridiques', ""Services d'enregistrement""]",8
Restaurants & bars,364,https://fr.trustpilot.com/categories/restaurants_bars,"['À emporter', 'Bars & cafés', 'Cuisine africaine & cuisine du Pacifique', 'Cuisine chinoise & coréene', ""Cuisine d'Afrique du Nord et du Sud"", ""Cuisine d'Asie du Sud-Est"", 'Cuisine du Moyen-Orient', 'Cuisine européenne', 'Cuisine japonaise', 'Cuisine méditerranéenne', 'Restaurants spécialisés', 'Végétarien & régime']",12
Services,196,https://fr.trustpilot.com/categories/utilities,"['Énergie & électricité', 'Pétrole & carburant', 'Traitement des eaux']",3
